REC_ID,FILETERM,FTERMA,FILEDATE,COURSE,CRSLEVEL,CDEPT,CNUM,CTITLE,MINCREDS,MaxCredits,Grade,UGGR,FT_PT,REGCREDS,ADMSTAT,SPECSRV1,SPECSRV2,CATEGORY,ACADEMICPROGRAM,ACADEMICPROGRAMDESCRIPTION,STARTTRM,SEX,AGE,ALIEN,NEWETH,COMBETH,CLASS,CUMATT,CUMCRED,CUMGPA,CUMPTS,HSNAME,SATVERB,SATMATH,SATWRITE,ACT,Wordcount,ZYBooks_Timeliness,ZYBooks_Curiosity,Weighted_Midterm_Total,Weighted_Final_Total,Word_Count
5213,201609,201609,9/1/2016,EGTG_2221,2,EGTG,2221,Statics,3, ,C,UG,F,16,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,24,PR,4,4,SO,33,47,2.576,85.01,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201609,201609,9/1/2016,EGTG_2286,2,EGTG,2286,Digital System Design,3, ,F,UG,F,16,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,24,PR,4,4,SO,33,47,2.576,85.01,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201609,201609,9/1/2016,EGTM_2232,2,EGTM,2232,Mechanical Measurement/Devices,3, ,C,UG,F,16,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,24,PR,4,4,SO,33,47,2.576,85.01,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201609,201609,9/1/2016,MATH_1201,1,MATH,1201,Calculus I,4, ,C-,UG,F,16,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,24,PR,4,4,SO,33,47,2.576,85.01,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201609,201609,9/1/2016,SOS_1215,1,SOS,1215,SOS Exams,0, , ,UG,F,16,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,24,PR,4,4,SO,33,47,2.576,85.01,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201702,201702,2/1/2017,EGTG_2228,2,EGTG,2228,Strength of Materials,3, ,C,UG,F,16,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,24,PR,4,4,SO,45,56,2.46,114.7,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201702,201702,2/1/2017,EGTG_3351,3,EGTG,3351,Applied Thermodynamics,3, ,B,UG,F,16,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,24,PR,4,4,SO,45,56,2.46,114.7,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201702,201702,2/1/2017,EGTG_3431,3,EGTG,3431,Dynamics,3, ,A,UG,F,16,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,24,PR,4,4,SO,45,56,2.46,114.7,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201702,201702,2/1/2017,MATH_2202,2,MATH,2202,Calculus II,4, ,B-,UG,F,16,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,24,PR,4,4,SO,45,56,2.46,114.7,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
5213,201702,201702,2/1/2017,UNIV_2002,2,UNIV,2002,Global Issues,3, ,C,UG,F,16,TRMAT, , ,1,ETME2.TEA,Mechanical Engineering Technology,15/FA,M,24,PR,4,4,SO,45,56,2.46,114.7,TEANECK HIGH SCHOOL,460,440,360, , ,773.78904,100,61.61,28.03,0
8197,201309,201309,9/1/2013,CSCI_1201,1,CSCI,1201,Computer Programming I,3, ,B,UG,F,15,FRMAT, , ,1,LIBA5.TEA,Liberal Arts,12/FA,M,19, ,3,3,FR,28,28,2.941,82.35,MARIST HIGH SCHOOL,340,370,330, , ,1491.304348,700,60.95,67.28,190
